market_hash_name,currency,min_price,max_price,mean_price,median_price,quantity_sold,source
AK-47 | Elite Build (Minimal Wear),USD,4.39,177.45,22.33,6.31,130,skinport
AK-47 | Elite Build (Well-Worn),USD,1.89,129.07,8.55,3.1,206,skinport
AK-47 | Emerald Pinstripe (Battle-Scarred),USD,3.36,125.55,16.43,8.18,29,skinport
AK-47 | Emerald Pinstripe (Factory New),USD,30.1,675.94,149.42,58.66,23,skinport
AK-47 | Emerald Pinstripe (Field-Tested),USD,3.52,246.43,17.9,9.92,131,skinport
AK-47 | Emerald Pinstripe (Minimal Wear),USD,5.15,387.57,40.46,16.46,71,skinport
AK-47 | Emerald Pinstripe (Well-Worn),USD,3.31,140.82,11.5,4.41,47,skinport
AK-47 | Fire Serpent (Battle-Scarred),USD,572.1,862.23,653.61,624.2,8,skinport
AK-47 | Fire Serpent (Factory New),USD,3434.65,3904.49,3669.58,3669.58,2,skinport
AK-47 | Fire Serpent (Field-Tested),USD,921.17,13633.7,1634.48,1191.86,29,skinport
AK-47 | Fire Serpent (Minimal Wear),USD,1359.01,2133.29,1710.99,1742.4,19,skinport
AK-47 | Fire Serpent (Well-Worn),USD,821.43,821.43,821.43,821.43,1,skinport
AK-47 | First Class (Battle-Scarred),USD,152.81,152.81,152.81,152.81,1,skinport
AK-47 | First Class (Factory New),USD,255.93,482.66,369.47,369.64,4,skinport
AK-47 | First Class (Field-Tested),USD,118.87,152.54,129.15,122.9,5,skinport
AK-47 | First Class (Minimal Wear),USD,205.36,205.36,205.36,205.36,1,skinport
AK-47 | Frontside Misty (Battle-Scarred),USD,18.02,39.05,22.87,19.94,11,skinport
AK-47 | Frontside Misty (Factory New),USD,217.09,1020.91,329.74,268.85,13,skinport
AK-47 | Frontside Misty (Field-Tested),USD,20.89,1663.91,69.79,25.23,69,skinport
AK-47 | Frontside Misty (Minimal Wear),USD,37.26,225.32,80.01,70.35,44,skinport
AK-47 | Frontside Misty (Well-Worn),USD,20.86,204.82,37.08,25.91,20,skinport
AK-47 | Fuel Injector (Battle-Scarred),USD,135.25,307.25,198.56,186.24,8,skinport
AK-47 | Fuel Injector (Factory New),USD,756.88,1026.78,850.77,796.34,9,skinport
AK-47 | Fuel Injector (Field-Tested),USD,204.83,422.44,254.16,241.9,37,skinport
AK-47 | Fuel Injector (Minimal Wear),USD,293.37,542.82,373.4,362.6,39,skinport
AK-47 | Fuel Injector (Well-Worn),USD,151.33,580.87,213.54,176.02,19,skinport
AK-47 | Gold Arabesque (Battle-Scarred),USD,1584.18,1736.73,1660.45,1660.45,2,skinport
AK-47 | Gold Arabesque (Factory New),USD,5045.89,9387.72,6845.21,6102.02,3,skinport
AK-47 | Gold Arabesque (Field-Tested),USD,1972.09,3002.15,2332.79,2123.96,9,skinport
AK-47 | Gold Arabesque (Minimal Wear),USD,3344.37,4437.09,3646.39,3410.84,5,skinport
AK-47 | Gold Arabesque (Well-Worn),USD,1838.82,2863.25,2184.56,2018.08,4,skinport
AK-47 | Green Laminate (Factory New),USD,186.62,293.37,232.09,216.05,15,skinport
AK-47 | Green Laminate (Field-Tested),USD,37.35,171.91,62.16,45.4,14,skinport
AK-47 | Green Laminate (Minimal Wear),USD,61.48,12238.52,1805.67,68.17,7,skinport
AK-47 | Head Shot (Battle-Scarred),USD,32.06,184.55,40.52,35.3,33,skinport
AK-47 | Head Shot (Factory New),USD,144.92,372.79,199.81,176.78,27,skinport
AK-47 | Head Shot (Field-Tested),USD,40.14,117.35,48.21,44.81,216,skinport
AK-47 | Head Shot (Minimal Wear),USD,70.56,704.08,101.62,86.23,118,skinport
AK-47 | Head Shot (Well-Worn),USD,34.24,173.09,44.36,38.31,68,skinport
AK-47 | Hydroponic (Battle-Scarred),USD,938.77,938.77,938.77,938.77,1,skinport
AK-47 | Hydroponic (Factory New),USD,6145.27,9217.3,7067.41,6455.82,11,skinport
AK-47 | Hydroponic (Field-Tested),USD,2086.15,2406.74,2201.31,2111.06,3,skinport
AK-47 | Hydroponic (Minimal Wear),USD,3160.83,4048.09,3467.01,3403.05,6,skinport
AK-47 | Hydroponic (Well-Worn),USD,1208.67,1211.52,1210.1,1210.1,2,skinport
AK-47 | Ice Coaled (Battle-Scarred),USD,5.26,36.11,10.35,7.25,38,skinport
AK-47 | Ice Coaled (Factory New),USD,23.47,847.83,77.31,40.48,90,skinport
AK-47 | Ice Coaled (Field-Tested),USD,5.87,133.76,26.19,12.59,198,skinport
AK-47 | Ice Coaled (Minimal Wear),USD,9.85,1263.82,41.96,16.42,127,skinport
AK-47 | Ice Coaled (Well-Worn),USD,8.19,35.19,12.78,9.45,13,skinport
AK-47 | Inheritance (Battle-Scarred),USD,48.05,173.41,72.32,60.28,15,skinport
AK-47 | Inheritance (Factory New),USD,187.74,565.86,232.53,212.19,55,skinport
AK-47 | Inheritance (Field-Tested),USD,55.59,233.52,78.19,70.2,178,skinport
AK-47 | Inheritance (Minimal Wear),USD,85.43,221.47,118.33,111.07,78,skinport
AK-47 | Inheritance (Well-Worn),USD,53.39,134.98,73.34,69.54,14,skinport
AK-47 | Jaguar (Battle-Scarred),USD,83.57,134.83,106.77,102.99,6,skinport
AK-47 | Jaguar (Factory New),USD,1004.23,1004.23,1004.23,1004.23,1,skinport
AK-47 | Jaguar (Field-Tested),USD,88.01,293.37,125.94,112.31,28,skinport
AK-47 | Jaguar (Minimal Wear),USD,282.37,1173.46,536.2,363.77,15,skinport
AK-47 | Jaguar (Well-Worn),USD,80.21,140.82,104.8,99.74,9,skinport
AK-47 | Jet Set (Battle-Scarred),USD,528.06,528.06,528.06,528.06,1,skinport
AK-47 | Jet Set (Factory New),USD,3584.5,3584.5,3584.5,3584.5,1,skinport
AK-47 | Jet Set (Field-Tested),USD,409.54,645.41,479.57,442.43,5,skinport
AK-47 | Jet Set (Minimal Wear),USD,586.73,768.62,665.55,653.42,4,skinport
AK-47 | Jet Set (Well-Worn),USD,490.92,490.92,490.92,490.92,1,skinport
AK-47 | Jungle Spray (Battle-Scarred),USD,15.89,39.02,24.75,22.04,4,skinport
AK-47 | Jungle Spray (Factory New),USD,234.69,234.69,234.69,234.69,1,skinport
AK-47 | Jungle Spray (Field-Tested),USD,30.38,2874.99,473.31,73.81,13,skinport
AK-47 | Jungle Spray (Minimal Wear),USD,67.76,1279.16,319.86,92.65,8,skinport
AK-47 | Jungle Spray (Well-Worn),USD,8.62,153.62,65.82,35.2,3,skinport
AK-47 | Leet Museo (Battle-Scarred),USD,117.33,152.54,130.24,126.14,9,skinport
AK-47 | Leet Museo (Factory New),USD,789.51,1280.18,1054.12,1118.35,10,skinport
AK-47 | Leet Museo (Field-Tested),USD,234.69,468.87,335.52,349.42,42,skinport
AK-47 | Leet Museo (Minimal Wear),USD,408.85,1232.14,534.28,499.61,22,skinport
AK-47 | Leet Museo (Well-Worn),USD,129.08,315.11,207.29,209.76,9,skinport
AK-47 | Legion of Anubis (Battle-Scarred),USD,38.64,70.41,43.16,40.58,29,skinport
AK-47 | Legion of Anubis (Factory New),USD,70.98,3137.26,179.76,81.16,78,skinport
AK-47 | Legion of Anubis (Field-Tested),USD,38.27,253.47,45.74,42.59,293,skinport
AK-47 | Legion of Anubis (Minimal Wear),USD,40.91,256.39,53.13,47.76,180,skinport
AK-47 | Legion of Anubis (Well-Worn),USD,39.76,70.41,46.28,40.81,11,skinport
AK-47 | Midnight Laminate (Battle-Scarred),USD,5.7,22.88,9.88,8.43,34,skinport
AK-47 | Midnight Laminate (Factory New),USD,34.73,1760.19,74.75,45.2,108,skinport
AK-47 | Midnight Laminate (Field-Tested),USD,7.77,161.93,15.15,8.57,133,skinport
AK-47 | Midnight Laminate (Minimal Wear),USD,16.62,1525.49,42.35,23.47,171,skinport
AK-47 | Midnight Laminate (Well-Worn),USD,7.97,20.51,10.94,9.52,13,skinport
AK-47 | Neon Revolution (Battle-Scarred),USD,109.09,121.64,114.26,113.39,12,skinport
AK-47 | Neon Revolution (Factory New),USD,392.18,888.7,515.89,454.45,18,skinport
AK-47 | Neon Revolution (Field-Tested),USD,112.65,657.73,141.99,122.59,88,skinport
AK-47 | Neon Revolution (Minimal Wear),USD,116.75,284.06,157.78,135.88,67,skinport
AK-47 | Neon Revolution (Well-Worn),USD,111.61,138.56,120.17,116.17,6,skinport
AK-47 | Neon Rider (Battle-Scarred),USD,44.69,56.61,51.4,50.92,12,skinport
AK-47 | Neon Rider (Factory New),USD,340.3,1363.51,439.26,383.79,31,skinport
AK-47 | Neon Rider (Field-Tested),USD,50.68,2635.6,121.36,70.41,67,skinport
AK-47 | Neon Rider (Minimal Wear),USD,90.72,704.08,138.8,106.05,28,skinport
AK-47 | Neon Rider (Well-Worn),USD,57.5,123.21,66.42,60.66,11,skinport
AK-47 | Nightwish (Battle-Scarred),USD,68.35,152.6,79.21,76.2,33,skinport
AK-47 | Nightwish (Factory New),USD,155.53,639.3,214.56,178.47,31,skinport
AK-47 | Nightwish (Field-Tested),USD,71.58,469.39,89.5,82.74,268,skinport
AK-47 | Nightwish (Minimal Wear),USD,81.41,734.79,120.09,92.48,176,skinport
AK-47 | Nightwish (Well-Worn),USD,69.47,102.42,78.16,77.23,102,skinport
AK-47 | Nouveau Rouge (Battle-Scarred),USD,12.87,14.39,13.59,13.51,3,skinport
AK-47 | Nouveau Rouge (Factory New),USD,176.91,463.48,250.31,204.31,14,skinport
AK-47 | Nouveau Rouge (Field-Tested),USD,20.32,100.33,27.58,23.6,87,skinport
AK-47 | Nouveau Rouge (Minimal Wear),USD,63.53,1178.98,117.02,84.57,40,skinport
AK-47 | Nouveau Rouge (Well-Worn),USD,14.64,64.53,28.79,22.52,17,skinport
AK-47 | Olive Polycam (Battle-Scarred),USD,0.09,0.83,0.29,0.23,20,skinport
AK-47 | Olive Polycam (Factory New),USD,1.3,57.86,5.08,2.91,721,skinport
AK-47 | Olive Polycam (Field-Tested),USD,0.09,10.56,0.93,0.35,383,skinport
AK-47 | Olive Polycam (Minimal Wear),USD,0.29,116.17,0.99,0.5,1168,skinport
AK-47 | Olive Polycam (Well-Worn),USD,0.12,9.97,1.0,0.31,47,skinport
AK-47 | Orbit Mk01 (Battle-Scarred),USD,36.76,36.91,36.84,36.84,2,skinport
AK-47 | Orbit Mk01 (Factory New),USD,190.1,2073.28,313.69,245.25,29,skinport
AK-47 | Orbit Mk01 (Field-Tested),USD,38.14,173.66,54.13,44.37,25,skinport
AK-47 | Orbit Mk01 (Minimal Wear),USD,51.47,105.61,71.8,70.95,33,skinport
AK-47 | Orbit Mk01 (Well-Worn),USD,37.73,47.68,45.68,47.67,5,skinport
AK-47 | Panthera onca (Battle-Scarred),USD,395.89,395.89,395.89,395.89,1,skinport
AK-47 | Panthera onca (Factory New),USD,1162.67,2666.25,1383.68,1248.37,13,skinport
AK-47 | Panthera onca (Field-Tested),USD,273.66,313.32,293.99,298.75,6,skinport
AK-47 | Panthera onca (Minimal Wear),USD,399.41,476.74,440.3,444.74,3,skinport
AK-47 | Panthera onca (Well-Worn),USD,211.22,468.21,290.96,242.2,4,skinport
AK-47 | Phantom Disruptor (Battle-Scarred),USD,6.81,58.67,16.67,12.38,12,skinport
AK-47 | Phantom Disruptor (Factory New),USD,43.63,234.69,76.98,57.04,46,skinport
AK-47 | Phantom Disruptor (Field-Tested),USD,7.18,645.41,22.78,8.65,150,skinport
AK-47 | Phantom Disruptor (Minimal Wear),USD,10.41,655.38,29.0,13.32,64,skinport
AK-47 | Phantom Disruptor (Well-Worn),USD,8.71,15.26,10.89,10.17,10,skinport
AK-47 | Point Disarray (Battle-Scarred),USD,16.18,848.41,93.45,21.9,14,skinport
AK-47 | Point Disarray (Factory New),USD,111.48,590.85,230.67,164.29,37,skinport
AK-47 | Point Disarray (Field-Tested),USD,15.56,159.58,38.29,23.61,44,skinport
AK-47 | Point Disarray (Minimal Wear),USD,25.82,6765.02,364.94,36.71,42,skinport
AK-47 | Point Disarray (Well-Worn),USD,18.13,29.34,23.42,23.46,7,skinport
AK-47 | Predator (Battle-Scarred),USD,17.78,111.2,50.47,36.45,4,skinport
AK-47 | Predator (Factory New),USD,109.13,234.69,183.01,205.22,3,skinport
AK-47 | Predator (Field-Tested),USD,13.69,664.67,77.71,38.61,27,skinport
AK-47 | Predator (Minimal Wear),USD,25.82,544.97,100.68,49.17,20,skinport
AK-47 | Predator (Well-Worn),USD,12.64,19.14,15.55,15.21,4,skinport
AK-47 | Rat Rod (Battle-Scarred),USD,5.46,248.42,32.06,6.83,16,skinport
AK-47 | Rat Rod (Factory New),USD,117.82,563.63,214.18,168.17,20,skinport
AK-47 | Rat Rod (Field-Tested),USD,6.4,215.33,11.23,8.1,116,skinport
AK-47 | Rat Rod (Minimal Wear),USD,11.92,58.67,18.01,16.31,51,skinport
AK-47 | Rat Rod (Well-Worn),USD,5.34,140.82,12.25,6.45,40,skinport
AK-47 | Red Laminate (Battle-Scarred),USD,78.08,478.32,186.58,117.33,9,skinport
AK-47 | Red Laminate (Factory New),USD,632.5,679.44,655.97,655.97,2,skinport
AK-47 | Red Laminate (Field-Tested),USD,68.44,1634.92,331.95,211.19,41,skinport
AK-47 | Red Laminate (Minimal Wear),USD,221.98,2923.37,647.34,328.51,22,skinport
AK-47 | Red Laminate (Well-Worn),USD,81.6,819.31,350.51,217.98,5,skinport
AK-47 | Redline (Battle-Scarred),USD,31.44,653.96,88.2,43.41,20,skinport
AK-47 | Redline (Field-Tested),USD,36.46,20283.34,179.18,62.32,500,skinport
AK-47 | Redline (Minimal Wear),USD,194.57,1054.94,313.87,234.69,93,skinport
AK-47 | Redline (Well-Worn),USD,33.28,1760.2,334.86,41.73,7,skinport
AK-47 | Safari Mesh (Battle-Scarred),USD,0.08,37.49,1.19,0.34,223,skinport
AK-47 | Safari Mesh (Factory New),USD,21.26,535.71,100.46,46.94,22,skinport
AK-47 | Safari Mesh (Field-Tested),USD,0.08,260.71,1.01,0.48,1508,skinport
AK-47 | Safari Mesh (Minimal Wear),USD,0.74,122.9,5.86,2.21,211,skinport
AK-47 | Safari Mesh (Well-Worn),USD,0.08,46.94,1.2,0.35,220,skinport
AK-47 | Safety Net (Battle-Scarred),USD,3.85,102.14,15.0,8.79,12,skinport
AK-47 | Safety Net (Factory New),USD,32.27,275.89,73.94,63.17,40,skinport
AK-47 | Safety Net (Field-Tested),USD,3.39,55.08,8.51,6.9,48,skinport
AK-47 | Safety Net (Minimal Wear),USD,5.39,176.02,18.72,8.2,65,skinport
AK-47 | Safety Net (Well-Worn),USD,4.89,11.73,5.76,4.96,11,skinport
AK-47 | Searing Rage (Battle-Scarred),USD,4.62,298.26,19.64,6.51,53,skinport
AK-47 | Searing Rage (Factory New),USD,62.65,1760.2,188.42,100.81,40,skinport
AK-47 | Searing Rage (Field-Tested),USD,5.83,214.16,16.83,7.06,238,skinport
AK-47 | Searing Rage (Minimal Wear),USD,10.56,201.84,23.53,13.34,78,skinport
AK-47 | Searing Rage (Well-Worn),USD,5.28,21.83,6.74,6.13,105,skinport
AK-47 | Slate (Battle-Scarred),USD,4.68,150.51,19.89,10.94,149,skinport
AK-47 | Slate (Factory New),USD,20.48,1806.15,91.44,38.2,144,skinport
AK-47 | Slate (Field-Tested),USD,5.75,152.54,12.57,6.2,809,skinport
AK-47 | Slate (Minimal Wear),USD,8.67,313.33,23.63,11.73,428,skinport
AK-47 | Slate (Well-Worn),USD,4.83,120.28,15.29,7.97,103,skinport
AK-47 | Steel Delta (Battle-Scarred),USD,3.43,7.63,5.76,5.95,18,skinport
AK-47 | Steel Delta (Factory New),USD,27.49,2229.58,121.16,45.72,34,skinport
AK-47 | Steel Delta (Field-Tested),USD,2.78,39.02,5.23,3.85,92,skinport
AK-47 | Steel Delta (Minimal Wear),USD,6.04,137.28,33.65,7.78,15,skinport
AK-47 | Steel Delta (Well-Worn),USD,3.9,9.31,5.0,4.21,18,skinport
AK-47 | The Empress (Battle-Scarred),USD,96.01,167.81,110.32,105.04,46,skinport
AK-47 | The Empress (Factory New),USD,369.43,572.22,438.69,431.28,19,skinport
AK-47 | The Empress (Field-Tested),USD,99.66,52911.52,466.24,108.17,160,skinport
AK-47 | The Empress (Minimal Wear),USD,110.06,352.04,135.01,122.44,75,skinport
AK-47 | The Empress (Well-Worn),USD,96.88,2176.19,143.75,104.07,59,skinport
AK-47 | The Oligarch (Battle-Scarred),USD,43.79,117.35,71.86,70.08,18,skinport
AK-47 | The Oligarch (Factory New),USD,429.11,1497.52,628.36,563.13,13,skinport
AK-47 | The Oligarch (Field-Tested),USD,95.99,293.37,121.04,115.21,33,skinport
AK-47 | The Oligarch (Minimal Wear),USD,159.45,501.83,212.89,179.89,47,skinport
AK-47 | The Oligarch (Well-Worn),USD,60.87,124.75,81.99,77.96,18,skinport
AK-47 | The Outsiders (Battle-Scarred),USD,9.76,15.24,11.58,11.05,18,skinport
AK-47 | The Outsiders (Factory New),USD,129.96,375.51,194.72,180.49,10,skinport
AK-47 | The Outsiders (Field-Tested),USD,9.53,58.66,16.91,12.77,78,skinport
AK-47 | The Outsiders (Minimal Wear),USD,23.06,176.02,33.16,27.04,102,skinport
AK-47 | The Outsiders (Well-Worn),USD,8.99,269.9,28.05,13.53,18,skinport
AK-47 | Uncharted (Battle-Scarred),USD,0.83,23.47,1.54,1.04,95,skinport
AK-47 | Uncharted (Factory New),USD,4.2,99.63,18.2,8.16,72,skinport
AK-47 | Uncharted (Field-Tested),USD,0.83,132.6,1.87,1.02,334,skinport
AK-47 | Uncharted (Minimal Wear),USD,1.17,431.46,9.29,1.68,134,skinport
AK-47 | Uncharted (Well-Worn),USD,1.43,9.27,2.14,2.01,66,skinport
AK-47 | VariCamo Grey (Battle-Scarred),USD,0.2,5.87,0.99,1.2,69,skinport
AK-47 | VariCamo Grey (Factory New),USD,1.02,64.59,7.99,5.08,78,skinport
AK-47 | VariCamo Grey (Field-Tested),USD,0.09,1.76,0.68,0.65,182,skinport
AK-47 | VariCamo Grey (Minimal Wear),USD,0.29,29.34,1.71,1.38,60,skinport
AK-47 | VariCamo Grey (Well-Worn),USD,0.42,0.61,0.52,0.5,13,skinport
AK-47 | Vulcan (Battle-Scarred),USD,133.76,206.59,168.51,163.62,9,skinport
AK-47 | Vulcan (Factory New),USD,751.02,2750.18,1082.46,938.77,36,skinport
AK-47 | Vulcan (Field-Tested),USD,206.95,12412.63,493.61,305.05,87,skinport
AK-47 | Vulcan (Minimal Wear),USD,440.05,117346.46,2821.4,562.24,53,skinport
AK-47 | Vulcan (Well-Worn),USD,162.76,255.82,187.17,174.85,5,skinport
AK-47 | Wasteland Rebel (Battle-Scarred),USD,101.92,101.92,101.92,101.92,2,skinport
AK-47 | Wasteland Rebel (Factory New),USD,568.11,1958.79,1067.07,674.3,3,skinport
AK-47 | Wasteland Rebel (Field-Tested),USD,88.74,212.94,102.78,92.7,47,skinport
AK-47 | Wasteland Rebel (Minimal Wear),USD,183.55,1173.46,277.85,190.0,12,skinport
AK-47 | Wild Lotus (Battle-Scarred),USD,4563.6,4608.65,4586.13,4586.13,2,skinport
AK-47 | Wild Lotus (Field-Tested),USD,9084.45,9874.71,9479.58,9479.58,2,skinport
AK-47 | Wintergreen (Battle-Scarred),USD,0.95,9.38,2.29,1.64,25,skinport
AK-47 | Wintergreen (Factory New),USD,11.11,185.4,31.43,15.99,98,skinport
AK-47 | Wintergreen (Field-Tested),USD,1.34,116.17,3.86,1.82,196,skinport
AK-47 | Wintergreen (Minimal Wear),USD,3.84,144.32,10.54,6.92,291,skinport
AK-47 | Wintergreen (Well-Worn),USD,2.96,8.67,4.69,3.46,10,skinport
AK-47 | X-Ray (Battle-Scarred),USD,480.28,480.28,480.28,480.28,1,skinport
AK-47 | X-Ray (Factory New),USD,4457.99,5802.45,5222.72,5407.71,3,skinport
AK-47 | X-Ray (Field-Tested),USD,1173.46,1173.46,1173.46,1173.46,1,skinport
AK-47 | X-Ray (Minimal Wear),USD,2369.54,2369.54,2369.54,2369.54,1,skinport
AK-47 | X-Ray (Well-Worn),USD,586.73,716.9,642.39,632.97,4,skinport
Alyx Pin,USD,30.29,56.33,43.02,40.25,8,skinport
Ambush Sticker Capsule,USD,1.17,2.86,1.31,1.17,18,skinport
AUG | Torque (Factory New),USD,26.07,106.47,52.0,46.89,16,skinport
Antwerp 2022 Ancient Souvenir Package,USD,4.25,117.78,14.34,5.27,83,skinport
Antwerp 2022 Challengers Autograph Capsule,USD,0.27,30.72,3.64,0.63,836,skinport
Antwerp 2022 Challengers Sticker Capsule,USD,0.49,30.72,6.0,1.35,1022,skinport
Antwerp 2022 Champions Autograph Capsule,USD,0.43,18.89,2.75,1.3,124,skinport
Antwerp 2022 Contenders Autograph Capsule,USD,0.94,5.28,2.52,1.51,623,skinport
Antwerp 2022 Contenders Sticker Capsule,USD,0.69,20.49,4.58,1.67,1233,skinport
Antwerp 2022 Dust II Souvenir Package,USD,4.83,117.78,14.41,6.9,217,skinport
Antwerp 2022 Inferno Souvenir Package,USD,3.29,110.4,12.96,5.33,68,skinport
Antwerp 2022 Legends Autograph Capsule,USD,0.36,30.72,7.3,1.2,536,skinport
